"-- First Please Select a Website --","-- Primeiro escolha um site --"
"Action","Ação"
"Active","Ativo"
"Add Gift Card","Adicionar cartão de presente"
"Add Gift Card Account","Adicionar conta de cartão de presente"
"Additional information","Informações adicionais"
"Alphabetical","Alfabético"
"Alphanumeric","Alfanumérico"
"Are you sure you want to delete these gift card accounts?","Tem certeza que deseja excluir essas contas de cartão de presente?"
"Available","Disponível"
"Balance","Saldo"
"Balance Change","Mudança no saldo"
"Balance cannot be less than zero.","O saldo não pode ser inferior a zero."
"By admin: %s.","Pelo administrador: %s."
"Cannot apply Gift Card","Não é possível aplicar o Cartão de presente"
"Cannot apply gift card.","Não é possível aplicar o cartão de presente."
"Cannot redeem Gift Card.","Não é possível resgatar o Cartão de presente."
"Cannot remove Gift Card","Não é possível remover o Cartão de presente"
"Cannot remove gift card.","Não é possível remover o cartão de presente."
"Check","Verificar"
"Check Gift Card status and balance","Verificar o status e o saldo do Cartão de presente"
"Check status and balance","Verificar o status e o saldo"
"Code","Código"
"Code Format","Formato do código"
"Code Length","Tamanho do código"
"Code Prefix","Prefixo Código"
"Code Suffix","Sufixo Código"
"Created","Criada"
"Current Balance: %s","Balanço Atual: %s"
"Customer #%s.","Cliente #%s."
"Customer My Account Gift Card Check Form","Formulário de Verificação do Cartão Oferta da Minha Conta de Cliente"
"Customers","Clientes"
"Dash Every X Characters","Trace Cada X Caracteres"
"Date","Data"
"Date Created","Data da Criação"
"Delete","Excluir"
"Do you really want to proceed? All unsaved changes will be lost.","Você realmente deseja continuar? Todas as alterações não salvas serão perdidas."
"Edit Gift Card Account","Edite Conta Cartão Oferta"
"Edit Gift Card Account: %s","Edite Conta Cartão Oferta: %s"
"Email Sent from Gift Card Account Management","E-mail enviado a partir da Conta de Gestão do Cartão Oferta"
"Email Template","Modelo de e-mail"
"Email was not sent because the gift card account is not active.","E-mail não enviado porque a conta do cartão oferta não está ativa."
"Enter Gift Card code","Insira código de Cartão Oferta"
"Enter gift card code","Insira código de cartão oferta"
"Enter the gift card code","Insira o código de cartão oferta"
"Excluding prefix, suffix and separators.","Excluindo sufixo, prefixo e separadores."
"Expiration Date","Data de Validade"
"Expiration date cannot be in the past.","Data de validade não pode ser no passado."
"Expired","Expirado"
"Expires: %s","Expira: %s"
"Generate","Gerar"
"Gift Card","Cartão de presente"
"Gift Card ""%s"" was added.","Cartão Oferta ""%s"" foi adicionado."
"Gift Card ""%s"" was redeemed.","Cartão Oferta ""%s"" foi resgatado."
"Gift Card ""%s"" was removed.","Cartão Oferta ""%s"" foi removido."
"Gift Card (%s)","Cartão Oferta (%s)"
"Gift Card Account","Conta Cartão Oferta"
"Gift Card Account General Settings","Configurações Gerais da Conta Cartão Oferta"
"Gift Card Account Sent From Edit Page","Página de Edição de Enviado de da Conta Cartão Oferta"
"Gift Card Account has been deleted.","Conta Cartão Oferta foi apagada."
"Gift Card Accounts","Contas de Cartão de Presente"
"Gift Card Balance Check Form","Formulário de Verificação de Balanço do Cartão Oferta"
"Gift Card Code","Código do Cartão Oferta"
"Gift Card Email Sender","Remetente Email de Cartão Oferta"
"Gift Card Template","Modelo de Cartão Oferta"
"Gift Card amount applied to order: %s","Valor do Cartão Oferta aplicado à ordem: %s"
"Gift Card status","Status do Cartão Oferta"
"Gift Card: %s","Cartão Oferta: %s"
"Gift Cards","Cartões Oferta"
"Gift card account %s balance does not have funds.","Conta Cartão Oferta %s balanço não tem fundos."
"Gift card account %s balance is less than amount to be charged.","Conta Cartão Oferta %s balanço é menor que valor a ser cobrado."
"Gift card account %s is expired.","Conta Cartão Oferta %s expirou."
"Gift card account %s is not enabled.","Conta Cartão Oferta %s não está ativada."
"Have a gift card? <a href=""%s"">Click here</a> to redeem it.","Tem um cartão oferta? <a href=""%s"">Clique aqui</a> para resgatá-lo."
"History","História"
"ID","Identidade"
"Information","Informações"
"Invalid customer ID supplied.","A ID do cliente fornecida está inválida."
"Low Code Pool Threshold","Limite baixo de código de pool"
"Manage Gift Card Accounts","Gerenciar contas de Cartão de Presente"
"Maximum generated code length is 255. Please correct your settings.","O tamanho máximo do código gerado é 255. Corrija as suas configurações."
"New Account","Nova conta"
"New Gift Card Account","Nova conta de Cartão de Presente"
"New Pool Size","Novo tamanho de pool"
"New code pool was generated.","O novo código de pool foi gerado."
"No","Não"
"No codes left in the pool.","Nenhum código restante em pool."
"Numeric","Numérico"
"Order #%s.","Pedido #%s."
"Please assign gift card account.","Determine a conta do Cartão de Presente."
"Please select gift card account(s)","Escolha a(s) conta(s) do(s) Cartão(ões) de Presente"
"Please wait, loading...","Por favor aguarde, carregando..."
"Recipient Email","E-mail do destinatário"
"Recipient Name","Nome do destinatário"
"Recipient: %s.","Destinatário: %s."
"Recipient: %s. By admin: %s.","Destinatário: %s. Pelo administrador: %s."
"Redeem Gift Card","Restituir Cartão de Presente"
"Redeemable","Resgatável"
"Redeemed","Restituído"
"Redemption functionality is disabled.","A função de restituição está desativada."
"Refund Gift Cards to Store Credit","Reembolso de Cartões Oferta para Crédito da Loja"
"Refunded to Store Credit","Reembolsado ao Crédito da Loja"
"Remove","Remover"
"Save","Salvar"
"Save & Send Email","Salvar e Enviar Email"
"Send Gift Card","Enviar Cartão Oferta"
"Sent","Enviado"
"Status","Status"
"Store Credit","Credito da loja"
"The gift card account has been saved and sent.","A conta de cartão oferta foi salva e enviada."
"The gift card account has been saved, but email was not sent.","A conta de cartão oferta foi salva, mas email não foi enviado."
"The gift card account has been saved.","A conta de cartão oferta foi salva."
"This Gift Card Account no longer exists.","Esta Conta Cartão Oferta não existe mais."
"This gift card account is already in the quote.","Esta conta de cartão oferta já está na citação."
"This gift card account wasn\'t found in the quote.","Esta conta de cartão oferta não foi encontrada na citação."
"To add or remove gift cards, <a href=""%s"">click here</a>.","Para adicionar ou remover cartões oferta,<a href=""%s"">clique aqui</a>."
"Total of %d record(s) have been deleted.","No total %d registro(s) foi(foram) excluído(s)."
"Unable to create full code pool size. Please check settings and try again.","Não é possível criar conjunto de tamanho completo de código. Por favor verifique as configurações e tente novamente."
"Unable to find a Gift Card Account to delete.","Incapaz de encontrar uma Conta de Cartão Oferta para apagar."
"Unable to generate new code pool.","Incapaz de gerar novo conjunto de código."
"Unknown history action.","Ação desconhecida do histórico."
"Updated","Atualizado"
"Used","Utilizado"
"WARNING: Save your configuration before running generation process.","AVISO: Guarde a sua configuração antes de executar o processo de geração."
"Website","Website"
"Wrong gift card account ID. Requested code: ""%s""","O ID de conta do cartão de presente está errado. Código solicitado: ""%s"""
"Wrong gift card account code: ""%s"".","O código da conta do cartão de presente está errado: ""%s""."
"Wrong gift card account website: %s.","A página da conta do cartão de presente está errada: %s."
"Wrong gift card code.","O código do cartão de presente está errado."
"Wrong or expired Gift Card Code.","O código do cartão de presente está expirado ou errado."
"Yes","Sim"
"if empty no separation.","caso esteja vazio, não há espaço de separação."
